Date,Buy Open Sell Close - Profit
2022-11-14,19.70
2022-11-15,10.06
2022-11-16,-36.21
2022-11-17,-15.04
2022-11-18,11.50
2022-11-19,6.21
2022-11-20,-75.97
2022-11-21,-34.05
2022-11-22,27.27
2022-11-23,47.78
2022-11-24,20.63
2022-11-25,-4.87
2022-11-26,7.11
2022-11-27,-10.78
2022-11-28,-24.87
2022-11-29,47.03
2022-11-30,78.76
2022-12-01,-19.50
2022-12-02,17.97
2022-12-03,-51.13
2022-12-04,37.04
2022-12-05,-20.32
2022-12-06,11.80
2022-12-07,-39.11
2022-12-08,48.67
2022-12-09,-16.80
2022-12-10,2.00
2022-12-11,-2.55
2022-12-12,11.05
2022-12-13,45.89
2022-12-14,-11.36
2022-12-15,-42.84
2022-12-16,-98.20
2022-12-17,20.08
2022-12-18,-3.41
2022-12-19,-17.15
2022-12-20,49.82
2022-12-21,-3.99
2022-12-22,4.51
2022-12-23,2.08
2022-12-24,1.03
2022-12-25,-2.21
2022-12-26,8.05
2022-12-27,-14.20
2022-12-28,-22.75
2022-12-29,11.59
2022-12-30,-2.34
2022-12-31,-2.59
2023-01-01,4.25
2023-01-02,13.56
2023-01-03,0.04
2023-01-04,41.81
2023-01-05,-6.04
2023-01-06,18.92
2023-01-07,-5.15
2023-01-08,23.18
2023-01-09,34.09
2023-01-10,15.19
2023-01-11,51.44
2023-01-12,12.59
2023-01-13,33.66
2023-01-14,99.28
2023-01-15,1.75
2023-01-16,24.31
2023-01-17,-9.26
2023-01-18,-52.19
2023-01-19,37.31
2023-01-20,107.38
2023-01-21,-32.59
2023-01-22,1.01
2023-01-23,-0.30
2023-01-24,-71.25
2023-01-25,54.90
2023-01-26,-7.97
2023-01-27,-4.92
2023-01-28,-25.69
2023-01-29,73.53
2023-01-30,-78.82
2023-01-31,19.12
2023-02-01,55.30
2023-02-02,1.87
2023-02-03,21.85
2023-02-04,2.59
2023-02-05,-35.52
2023-02-06,-15.40
2023-02-07,55.99
2023-02-08,-21.19
2023-02-09,-104.64
2023-02-10,-31.73
2023-02-11,24.99
2023-02-12,-24.75
2023-02-13,-7.75
2023-02-14,49.89
2023-02-15,116.98
2023-02-16,-33.80
2023-02-17,54.50
2023-02-18,-2.92
2023-02-19,-10.24
2023-02-20,20.34
2023-02-21,-44.76
2023-02-22,-14.91
2023-02-23,7.77
2023-02-24,-42.53
2023-02-25,-13.75
2023-02-26,46.06
2023-02-27,-6.43
2023-02-28,-28.60
2023-03-01,57.39
2023-03-02,-16.23
2023-03-03,-78.39
2023-03-04,-2.36
2023-03-05,-2.71
2023-03-06,3.02
2023-03-07,-5.49
2023-03-08,-27.89
2023-03-09,-95.37
2023-03-10,-9.60
2023-03-11,53.52
2023-03-12,107.86
2023-03-13,89.48
2023-03-14,23.21
2023-03-15,-49.01
2023-03-16,20.89
2023-03-17,115.19
2023-03-18,-31.93
2023-03-19,22.62
2023-03-20,-50.10
2023-03-21,71.14
2023-03-22,-67.24
2023-03-23,79.27
2023-03-24,-63.78
2023-03-25,-7.71
2023-03-26,31.84
2023-03-27,-60.02
2023-03-28,57.46
2023-03-29,20.10
2023-03-30,-0.61
2023-03-31,28.40
2023-04-01,-7.84
2023-04-02,-25.48
2023-04-03,15.38
2023-04-04,60.87
2023-04-05,38.14
2023-04-06,-36.22
2023-04-07,-7.09
2023-04-08,-15.18
2023-04-09,9.72
2023-04-10,51.47
2023-04-11,-19.19
2023-04-12,28.73
2023-04-13,94.93
2023-04-14,87.71
2023-04-15,-9.15
2023-04-16,27.73
2023-04-17,-43.76
2023-04-18,28.68
2023-04-19,-167.55
2023-04-20,6.68
2023-04-21,-93.41
2023-04-22,24.94
2023-04-23,-12.11
2023-04-24,-19.33
2023-04-25,24.55
2023-04-26,0.41
2023-04-27,42.10
2023-04-28,-16.76
2023-04-29,16.35
2023-04-30,-31.82
2023-05-01,-36.94
2023-05-02,39.06
2023-05-03,33.96
2023-05-04,-27.47
2023-05-05,117.23
2023-05-06,-95.26
2023-05-07,-26.84
2023-05-08,-23.44
2023-05-09,-0.46
2023-05-10,-5.81
2023-05-11,-46.00
2023-05-12,12.84
2023-05-13,-12.27
2023-05-14,4.39
2023-05-15,17.18
2023-05-16,7.30
2023-05-17,-2.21
2023-05-18,-20.34
2023-05-19,11.60
2023-05-20,7.71
2023-05-21,-15.61
2023-05-22,12.69
2023-05-23,36.60
2023-05-24,-54.20
2023-05-25,6.10
2023-05-26,22.96
2023-05-27,2.54
2023-05-28,79.81
2023-05-29,-16.22
2023-05-30,7.94
2023-05-31,-26.97
2023-06-01,-11.71
2023-06-02,44.84
2023-06-03,-15.01
2023-06-04,-1.89
2023-06-05,-78.59
2023-06-06,73.91
2023-06-07,-51.97
2023-06-08,13.79
2023-06-09,-5.85
2023-06-10,-88.01
2023-06-11,0.89
2023-06-12,-10.55
2023-06-13,-3.35
2023-06-14,-88.73
2023-06-15,15.02
2023-06-16,51.26
2023-06-17,10.53
2023-06-18,-6.61
2023-06-19,17.15
2023-06-20,55.24
2023-06-21,99.02
2023-06-22,-16.85
2023-06-23,20.32
2023-06-24,-17.71
2023-06-25,24.66
2023-06-26,-40.62
2023-06-27,30.35
2023-06-28,-61.94
2023-06-29,24.17
2023-06-30,81.18
2023-07-01,-8.75
2023-07-02,12.99
2023-07-03,17.51
2023-07-04,-18.89
2023-07-05,-26.21
2023-07-06,-61.78
2023-07-07,23.09
2023-07-08,-5.46
2023-07-09,-2.58
2023-07-10,17.32
2023-07-11,-2.31
2023-07-12,-6.21
2023-07-13,134.47
2023-07-14,-66.34
2023-07-15,-7.66
2023-07-16,-7.97
2023-07-17,-12.04
2023-07-18,-14.10
2023-07-19,-8.79
2023-07-20,1.90
2023-07-21,0.50
2023-07-22,-27.05
2023-07-23,23.10
2023-07-24,-38.81
2023-07-25,7.71
2023-07-26,14.46
2023-07-27,-11.73
2023-07-28,14.04
2023-07-29,6.51
2023-07-30,-19.23
2023-07-31,-5.60
2023-08-01,15.60
2023-08-02,-34.38
2023-08-03,-3.76
2023-08-04,-7.18
2023-08-05,7.19
2023-08-06,-7.39
2023-08-07,-0.30
2023-08-08,28.88
2023-08-09,-1.48
2023-08-10,-3.60
2023-08-11,-3.62
2023-08-12,1.72
2023-08-13,-9.77
2023-08-14,4.87
2023-08-15,-17.23
2023-08-16,-21.38
2023-08-17,-120.64
2023-08-18,-21.09
2023-08-19,8.63
2023-08-20,15.26
2023-08-21,-17.75
2023-08-22,-33.39
2023-08-23,44.87
2023-08-24,-19.31
2023-08-25,-7.33
2023-08-26,-6.62
2023-08-27,11.24
2023-08-28,-4.98
2023-08-29,77.46
2023-08-30,-24.57
2023-08-31,-59.72
2023-09-01,-17.09
2023-09-02,8.47
2023-09-03,-0.92
2023-09-04,-6.06
2023-09-05,3.72
2023-09-06,-1.66
2023-09-07,15.34
2023-09-08,-11.67
2023-09-09,-0.89
2023-09-10,-18.38
2023-09-11,-65.13
2023-09-12,40.93
2023-09-13,15.10
2023-09-14,18.94
2023-09-15,14.77
2023-09-16,-6.23
2023-09-17,-12.30
2023-09-18,14.27
2023-09-19,6.23
2023-09-20,-20.61
2023-09-21,-38.28
2023-09-22,9.27
2023-09-23,0.65
2023-09-24,-12.98
2023-09-25,7.57
2023-09-26,5.40
2023-09-27,4.38
2023-09-28,55.21
2023-09-29,14.94
2023-09-30,3.33
2023-10-01,62.65
2023-10-02,-69.35
2023-10-03,-6.20
2023-10-04,-8.90
2023-10-05,-36.31
2023-10-06,34.46
2023-10-07,-11.30
2023-10-08,-1.11
2023-10-09,-53.64
2023-10-10,-12.40
2023-10-11,-1.43
2023-10-12,-26.75
2023-10-13,12.66
2023-10-14,3.00
2023-10-15,2.99
2023-10-16,42.22
2023-10-17,-35.20
2023-10-18,-1.63
2023-10-19,3.50
2023-10-20,37.10
2023-10-21,24.48
2023-10-22,34.13
2023-10-23,90.53
2023-10-24,18.43
2023-10-25,2.49
2023-10-26,16.56
2023-10-27,-23.74
2023-10-28,-3.46
2023-10-29,18.99
2023-10-30,14.50
2023-10-31,6.33
2023-11-01,31.22
2023-11-02,-46.64
2023-11-03,31.88
2023-11-04,24.33
2023-11-05,36.76
2023-11-06,5.81
2023-11-07,-12.48
2023-11-08,2.20
2023-11-09,231.62
2023-11-10,-42.78
2023-11-11,-25.35
2023-11-12,-7.93
2023-11-13,9.92
2023-11-14,-10.19
